AREANM,AREACD,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10
Suffolk Coastal,E07000205,0.388298585,0.394692472,0.407925121,0.418995743,0.42716233,0.392589928,0.403482339,0.398870406,0.423201457,0.423815972
Waveney,E07000206,0.290518857,0.289306308,0.307429122,0.315526526,0.32496403,0.291741554,0.296299447,0.305432667,0.304642981,0.329362867
Elmbridge,E07000207,0.309211168,0.314273278,0.310452467,0.32381703,0.336023614,0.310033776,0.331885198,0.307034819,0.324982446,0.33572456
Epsom and Ewell,E07000208,0.283287414,0.274384218,0.267578222,0.258045047,0.240575736,0.281891517,0.269357933,0.267860481,0.259599569,0.226596155
Guildford,E07000209,0.221003517,0.217852536,0.218770145,0.197276422,0.200946959,0.22468915,0.211829317,0.214509133,0.193386835,0.186539626
Mole Valley,E07000210,0.225218852,0.228190175,0.226569606,0.223405769,0.220557428,0.225187655,0.22497865,0.225594982,0.223574473,0.211544921
Reigate and Banstead,E07000211,0.23706168,0.238676058,0.236018408,0.223812786,0.21407777,0.236218533,0.237107911,0.235658986,0.217583981,0.21583221
Runnymede,E07000212,0.314392585,0.302081934,0.292792958,0.266648195,0.260540716,0.301939704,0.301863463,0.291696297,0.26614071,0.255464637
Spelthorne,E07000213,0.245342347,0.239208972,0.234955563,0.227733177,0.221222522,0.244049155,0.23813487,0.234889596,0.223080449,0.222402095
Surrey Heath,E07000214,0.260101495,0.262449431,0.260001164,0.248867665,0.243326458,0.261109376,0.260816652,0.260360275,0.243105712,0.236604508
Tandridge,E07000215,0.245248911,0.248168598,0.239419416,0.2330164,0.229402,0.244599497,0.244656934,0.236381108,0.235178365,0.225383887
Waverley,E07000216,0.278515208,0.27231544,0.27512719,0.266810005,0.266426836,0.277126996,0.275170006,0.274859,0.262452393,0.263271307
Woking,E07000217,0.295368602,0.289098028,0.285249431,0.278399387,0.281355748,0.2898816,0.289019612,0.282824141,0.279573663,0.292260653
North Warwickshire,E07000218,0.29593854,0.299773784,0.294365878,0.313539062,0.298358037,0.300058933,0.297414713,0.290672426,0.312814753,0.292404933
Nuneaton and Bedworth,E07000219,0.363293974,0.362024083,0.343981528,0.333348118,0.32934715,0.368146615,0.359735077,0.341266416,0.333670245,0.329164822
Rugby,E07000220,0.263784397,0.262444312,0.270199653,0.264549335,0.252987287,0.263657917,0.269582452,0.269735025,0.259929894,0.25712291
Stratford-on-Avon,E07000221,0.205587392,0.201727478,0.20021117,0.202848093,0.188395969,0.209266262,0.20193875,0.199825125,0.189235176,0.185430342
Warwick,E07000222,0.23608979,0.231030809,0.22793371,0.229126939,0.224517757,0.236843532,0.227201497,0.230893566,0.223274358,0.223266032
Adur,E07000223,0.246656435,0.251236355,0.243366403,0.247890855,0.231485227,0.250563591,0.245104547,0.245996669,0.240673334,0.228543208
Arun,E07000224,0.237494695,0.228078783,0.220731011,0.223126369,0.223248906,0.234589127,0.228041309,0.221154465,0.222599439,0.223444875
Chichester,E07000225,0.259722028,0.251868634,0.263574954,0.251211301,0.236405623,0.256769415,0.254346437,0.258094632,0.241617345,0.233933674
Crawley,E07000226,0.210917893,0.20746598,0.19882414,0.191224799,0.19255309,0.210420121,0.200704423,0.196288834,0.188367362,0.190030518
Horsham,E07000227,0.201726222,0.196369686,0.193305399,0.179610717,0.170848776,0.201965743,0.195463718,0.191722837,0.174817737,0.171033543
Mid Sussex,E07000228,0.184555304,0.186458298,0.182463776,0.165787413,0.165516233,0.183717771,0.184111688,0.182014854,0.162324219,0.162165029
Worthing,E07000229,0.219271934,0.217447466,0.217978023,0.21593804,0.213397439,0.22072879,0.217798075,0.218327321,0.2141015,0.212795713
Bromsgrove,E07000234,0.238219069,0.233734564,0.226590378,0.233426185,0.231090482,0.234393096,0.232953731,0.225256092,0.230418277,0.228499567
Malvern Hills,E07000235,0.230805193,0.233460975,0.233266683,0.232466095,0.216660112,0.230349998,0.232253548,0.225444989,0.224819369,0.219190056
Redditch,E07000236,0.184528788,0.185972225,0.186011542,0.183797541,0.176518599,0.181012692,0.188168712,0.188403964,0.182385657,0.183646672
Worcester,E07000237,0.166081265,0.164024088,0.149247333,0.145420157,0.13514149,0.167598603,0.159855781,0.148935087,0.138804593,0.135132196
Wychavon,E07000238,0.222814305,0.219504772,0.215825785,0.206216251,0.204400466,0.221039485,0.219508124,0.215295295,0.207491869,0.203442886
Wyre Forest,E07000239,0.217932285,0.206761875,0.203571582,0.190275259,0.178363138,0.218621192,0.205831456,0.200287374,0.191495487,0.179153444
St Albans,E07000240,0.178627292,0.179780144,0.180502426,0.169442684,0.169827487,0.176823613,0.179350283,0.177808355,0.169689768,0.169990585
Welwyn Hatfield,E07000241,0.168228743,0.169241954,0.16919942,0.164147804,0.160824676,0.169732744,0.172854536,0.170148787,0.163226105,0.161249383
East Hertfordshire,E07000242,0.240234667,0.245518685,0.238881156,0.234369653,0.229432024,0.246704936,0.244316732,0.235487288,0.231997078,0.223083748
Stevenage,E07000243,0.131997791,0.126937301,0.126710738,0.13227403,0.123203956,0.129170283,0.125106584,0.130169466,0.129546537,0.133674604
Bolton,E08000001,0.145316999,0.143368664,0.151643462,0.15295491,0.159030915,0.142737211,0.144497197,0.150636233,0.156389119,0.153740358
Bury,E08000002,0.205527565,0.200994261,0.196155674,0.185777971,0.175632896,0.204908521,0.198136674,0.195045861,0.183496859,0.177158114
Manchester,E08000003,0.29140854,0.268660891,0.273634299,0.264153739,0.25219683,0.288467734,0.270697114,0.268174168,0.255625881,0.247830393
Oldham ,E08000004,0.277205633,0.268766278,0.2688412,0.260436219,0.263854659,0.276530113,0.269417949,0.270149957,0.257789113,0.265145604
Rochdale,E08000005,0.264355693,0.255399192,0.253835986,0.244869326,0.242539342,0.262813775,0.254597722,0.250411742,0.24489428,0.2414963
Salford,E08000006,0.193935027,0.187456074,0.182501596,0.178341913,0.175545761,0.194719309,0.185113463,0.182504176,0.176490587,0.171361667
Stockport,E08000007,0.244686822,0.234680503,0.241423619,0.229994799,0.237613931,0.242221793,0.235728517,0.233975203,0.233091709,0.242977793
Tameside,E08000008,0.357939284,0.341080193,0.334431487,0.373470868,0.354709044,0.359415761,0.336011795,0.344149927,0.354322821,0.364441244
Trafford,E08000009,0.174358052,0.172537336,0.171901769,0.176384205,0.176627218,0.173124407,0.172010199,0.1700444,0.176303746,0.177157403
Wigan,E08000010,0.257820345,0.273337257,0.269104772,0.274507311,0.276658318,0.262907471,0.268860324,0.27284398,0.275667775,0.284879277
Knowsley ,E08000011,0.27170094,0.27117431,0.285365432,0.282618758,0.274051947,0.271616797,0.277382417,0.282200949,0.285510267,0.269142585
Liverpool,E08000012,0.203330422,0.207276145,0.206579131,0.207716313,0.205884739,0.206898644,0.206847274,0.208764706,0.205904931,0.212350693
St. Helens,E08000013,0.3580531,0.367650391,0.369327407,0.357788733,0.351963047,0.370061174,0.363401363,0.370289012,0.35642797,0.362700209
Sefton,E08000014,0.314615294,0.300467849,0.304890142,0.294944442,0.296776168,0.313355666,0.303490193,0.306485306,0.286311666,0.296324329
Wirral,E08000015,0.281212035,0.281786979,0.271830737,0.273913769,0.265336867,0.285087887,0.277940738,0.271788612,0.276508057,0.266348808
Barnsley,E08000016,0.243487287,0.239484619,0.245603205,0.239919993,0.239069194,0.243991207,0.241930533,0.246362233,0.235144304,0.234354219
Doncaster,E08000017,0.21163272,0.210496558,0.211000467,0.218034946,0.215232711,0.210804932,0.212517304,0.212030926,0.216737715,0.212844242
Rotherham ,E08000018,0.269155648,0.271520506,0.280059636,0.276121785,0.283985345,0.268176092,0.270353735,0.279292359,0.277723043,0.283205203
Sheffield,E08000019,0.246766854,0.261634498,0.262180207,0.28806552,0.304541023,0.244517357,0.26157284,0.264207408,0.291612852,0.290537424
